"Date","Address","lat","lon","Killed","Injured","Content"
2014-06-01,"West Ferdinand Street and North Lavergne Avenue , Chicago, Illinois",41.889518,-87.7504935,1,5,"<b>Date: </b>2014-06-01<br/><b>Killed: </b>1<br/><b>Injured: </b>5<br/><b>Location: </b>West Ferdinand Street and North Lavergne Avenue , Chicago, Illinois"
2014-06-01,"6500 46th Street, Sacramento, California",38.5080909,-121.4523736,0,4,"<b>Date: </b>2014-06-01<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>6500 46th Street, Sacramento, California"
2014-06-02,"2660 E. 79th St, Chicago, Illinois",41.7520884,-87.5591756,0,7,"<b>Date: </b>2014-06-02<br/><b>Killed: </b>0<br/><b>Injured: </b>7<br/><b>Location: </b>2660 E. 79th St, Chicago, Illinois"
2014-06-03,"Auburn Avenue, Atlanta, Georgia",33.7537814,-84.376547,1,4,"<b>Date: </b>2014-06-03<br/><b>Killed: </b>1<br/><b>Injured: </b>4<br/><b>Location: </b>Auburn Avenue, Atlanta, Georgia"
2014-06-04,"4900 West West End Avenue, Chicago, Illinois",41.8832704,-87.7481862,1,3,"<b>Date: </b>2014-06-04<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>4900 West West End Avenue, Chicago, Illinois"
2014-06-07,"Tish Lane, Moncks Corner, South Carolina",33.1711351,-80.13114,1,5,"<b>Date: </b>2014-06-07<br/><b>Killed: </b>1<br/><b>Injured: </b>5<br/><b>Location: </b>Tish Lane, Moncks Corner, South Carolina"
2014-06-07,"10811 W. Ten Mile Rd., Oak Park, Michigan",42.4742091,-83.1719483,1,3,"<b>Date: </b>2014-06-07<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>10811 W. Ten Mile Rd., Oak Park, Michigan"
2014-06-08,"611 Hardin Street, Opp, Alabama",31.2725286,-86.2531908,1,4,"<b>Date: </b>2014-06-08<br/><b>Killed: </b>1<br/><b>Injured: </b>4<br/><b>Location: </b>611 Hardin Street, Opp, Alabama"
2014-06-09,"Rosa Parks Boulevard and Godwin Avenue, Paterson, New Jersey",40.9206769,-74.1590819,0,6,"<b>Date: </b>2014-06-09<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>Rosa Parks Boulevard and Godwin Avenue, Paterson, New Jersey"
2014-06-13,"8600 block of South Figueroa Street, Los Angeles, California",33.9597297,-118.2824149,3,1,"<b>Date: </b>2014-06-13<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>8600 block of South Figueroa Street, Los Angeles, California"
2014-06-15,"5100 Clinton Drive, Kokomo, Indiana",40.4367955,-86.1250352,0,4,"<b>Date: </b>2014-06-15<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>5100 Clinton Drive, Kokomo, Indiana"
2014-06-20,"6600 block of Greig Street, Seat Pleasant, Maryland",38.9001431,-76.9058536,0,4,"<b>Date: </b>2014-06-20<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>6600 block of Greig Street, Seat Pleasant, Maryland"
2014-06-21,"Florida Avenue and U Street NW, Washington, District of Columbia",38.9204944,-77.0296626,0,4,"<b>Date: </b>2014-06-21<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Florida Avenue and U Street NW, Washington, District of Columbia"
2014-06-21,"2119 East Alcy Road, Memphis, Tennessee",35.0782535,-89.9918309,0,5,"<b>Date: </b>2014-06-21<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>2119 East Alcy Road, Memphis, Tennessee"
2014-06-24,"Northwest 12th Avenue and 65th Street, Miami, Florida",25.8342871,-80.2167252,2,7,"<b>Date: </b>2014-06-24<br/><b>Killed: </b>2<br/><b>Injured: </b>7<br/><b>Location: </b>Northwest 12th Avenue and 65th Street, Miami, Florida"
2014-06-25,"Midland Street, Lowell, Massachusetts",42.6235115,-71.3268546,0,5,"<b>Date: </b>2014-06-25<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>Midland Street, Lowell, Massachusetts"
2014-06-26,"Grand St, Detroit, Michigan",42.3936105,-83.1258155,2,2,"<b>Date: </b>2014-06-26<br/><b>Killed: </b>2<br/><b>Injured: </b>2<br/><b>Location: </b>Grand St, Detroit, Michigan"
2014-06-26,"24th and Locust, Milwaukee, Wisconsin",43.0714769,-87.9423791,0,5,"<b>Date: </b>2014-06-26<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>24th and Locust, Milwaukee, Wisconsin"
2014-06-27,"1800 block of Cathy Street, San Diego, California",32.5872545,-117.0946296,1,3,"<b>Date: </b>2014-06-27<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>1800 block of Cathy Street, San Diego, California"
2014-06-27,"1600 block of Cathy Street, San Diego, California",32.5872545,-117.0946296,1,3,"<b>Date: </b>2014-06-27<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>1600 block of Cathy Street, San Diego, California"
2014-06-27,"Grand Street and Lasalle Street, Detroit, Michigan",42.3956919,-83.120211,2,2,"<b>Date: </b>2014-06-27<br/><b>Killed: </b>2<br/><b>Injured: </b>2<br/><b>Location: </b>Grand Street and Lasalle Street, Detroit, Michigan"
2014-06-28,"5500 Cedar Point Way, Antioch, California",37.9569986,-121.7574705,0,7,"<b>Date: </b>2014-06-28<br/><b>Killed: </b>0<br/><b>Injured: </b>7<br/><b>Location: </b>5500 Cedar Point Way, Antioch, California"
2014-06-28,"Fifth Avenue and West 139th Street, Manhattan, New York",40.8153398,-73.935758,0,4,"<b>Date: </b>2014-06-28<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Fifth Avenue and West 139th Street, Manhattan, New York"
2014-06-29,"1100 block of North Vermont Avenue, Los Angeles, California",34.0912211,-118.2917598,1,5,"<b>Date: </b>2014-06-29<br/><b>Killed: </b>1<br/><b>Injured: </b>5<br/><b>Location: </b>1100 block of North Vermont Avenue, Los Angeles, California"
2014-06-29,"700 Bourbon Street, New Orleans, Louisiana",29.9586073,-90.0654568,1,9,"<b>Date: </b>2014-06-29<br/><b>Killed: </b>1<br/><b>Injured: </b>9<br/><b>Location: </b>700 Bourbon Street, New Orleans, Louisiana"
2014-06-29,"2800 block of Dayton, Saint Louis, Missouri",38.641863,-90.216016,0,4,"<b>Date: </b>2014-06-29<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>2800 block of Dayton, Saint Louis, Missouri"
2014-06-30,"Scottsdale Circle, Lexington, Kentucky",38.0763447,-84.4771899,1,3,"<b>Date: </b>2014-06-30<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>Scottsdale Circle, Lexington, Kentucky"
2014-07-02,"1400 block of West Congress Street, Chester, Pennsylvania",39.840613,-75.3863327,0,5,"<b>Date: </b>2014-07-02<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>1400 block of West Congress Street, Chester, Pennsylvania"
